INSTANCE,SIZE,SAM_TIME,SAM_RESULT,SR_TIME,HYBRID_TIME,HYBRID_SAM_RESULT,OPTIMAL,SR_UB
J10010_1,100,250.22,40,,,,
J10010_1,100,231.35,39,,,,
J10010_1,100,217.78,40,,,,
J10010_1,100,221.08,41,,,,
J10010_1,100,267.81,41,,,,
J10010_1,100,242.71,40,,,,
J10010_1,100,235.57,40,,,,
J10010_1,100,231.14,39,,,,
J100107_2,100,218.87,66,,266.80,64,57
J100107_2,100,214.07,65,,266.43,63,57
J100107_2,100,217.00,64,,265.40,63,57
J100107_2,100,217.09,64,,262.09,63,57
J100107_2,100,211.40,63,,265.67,62,57
J100107_2,100,215.96,63,,266.77,63,57
J100107_2,100,215.14,62,,263.81,63,57
J100107_2,100,215.70,67,,272.25,62,57
J100107_2,100,215.20,62,,283.85,63,57
J100107_2,100,216.70,65,,286.91,62,57
J10021_5,100,210.65,35,,,,
J10021_5,100,208.04,34,,,,
J10021_5,100,212.07,35,,,,
J10021_5,100,208.40,35,,,,
J10021_5,100,211.31,34,,,,
J10021_5,100,211.93,33,,,,
J10021_5,100,204.48,34,,,,
J10021_5,100,203.54,34,,,,
J10021_5,100,203.02,35,,,,
J10021_5,100,202.64,35,,,,
J10023_4,100,201.59,30,,263.29,31,21
J10023_4,100,204.33,32,,254.88,30,21
J10023_4,100,200.62,31,,259.39,30,21
J10023_4,100,201.93,31,,256.84,30,21
J10023_4,100,202.22,30,,263.18,31,21
J10023_4,100,202.35,31,,262.85,31,21
J10023_4,100,201.72,31,,261.37,30,21
J10023_4,100,204.57,31,,261.06,29,21
J10023_4,100,201.95,31,,271.23,30,21
J10023_4,100,200.89,29,,261.29,30,21
J10028_3,100,197.70,33,,297.88,32,22
J10028_3,100,198.13,33,,249.32,34,22
J10028_3,100,197.19,33,,296.32,32,22
J10028_3,100,196.51,32,,296.06,32,22
J10028_3,100,192.96,31,,248.55,34,22
J10028_3,100,194.43,32,,297.29,32,22
J10028_3,100,201.54,32,,274.39,31,22
J10028_3,100,198.13,34,,252.46,34,22
J10028_3,100,196.88,33,,265.98,33,22
J10028_3,100,197.90,31,,,,
J10032_5,100,198.44,35,,,,
J10032_5,100,195.83,34,,,,
J10032_5,100,196.70,35,,,,
J10032_5,100,200.41,34,,,,
J10032_5,100,195.89,34,,,,
J10032_5,100,202.63,34,,,,
J10032_5,100,196.90,36,,,,
J10032_5,100,195.95,34,,,,
J10032_5,100,199.70,33,,,,
J10032_5,100,195.03,37,,,,
J10039_1,100,216.09,47,,,,
J10039_1,100,214.94,50,,,,
J10039_1,100,214.86,47,,,,
J10039_1,100,216.71,48,,,,
J10039_1,100,218.10,50,,,,
J10039_1,100,218.07,48,,,,
J10039_1,100,216.13,46,,,,
J10039_1,100,215.08,51,,,,
J10039_1,100,215.57,49,,,,
J10039_1,100,213.16,46,,,,
J10052_1,100,198.91,49,,275.26,47,38
J10052_1,100,200.95,50,,264.28,48,38
J10052_1,100,198.69,47,,266.35,49,38
J10052_1,100,197.07,49,,262.88,48,38
J10052_1,100,198.54,46,,252.87,46,38
J10052_1,100,198.67,51,,260.79,49,38
J10052_1,100,197.11,47,,273.52,47,38
J10052_1,100,196.15,46,,264.48,48,38
J10052_1,100,196.05,49,,260.11,49,38
J10052_1,100,195.88,47,,,,
J10063_3,100,198.40,39,,225.89,38,35
J10063_3,100,202.66,43,,232.95,41,35
J10063_3,100,199.85,40,,232.23,41,35
J10063_3,100,194.51,40,,236.42,42,35
J10063_3,100,199.44,43,,237.10,42,35
J10063_3,100,205.57,41,,236.74,43,35
J10063_3,100,200.64,41,,236.93,42,35
J10063_3,100,205.18,42,,233.95,41,35
J10063_3,100,202.33,40,,225.68,38,35
J10063_3,100,202.56,41,,232.62,41,35
J10078_4,100,212.57,70,,288.04,71,59
J10078_4,100,214.09,72,,288.64,71,59
J10078_4,100,214.08,72,,274.66,68,59
J10078_4,100,219.81,73,,295.49,71,59
J10078_4,100,219.14,71,,283.31,70,59
J10078_4,100,219.74,70,,307.29,73,59
J10078_4,100,216.45,73,,284.41,70,59
J10078_4,100,215.60,70,,277.12,69,59
J10078_4,100,214.37,70,,276.91,69,59
J10078_4,100,221.51,70,,288.65,71,59
