Instance: j3060_1
Chains: 2
Steps: 3
Neighbours Initial N: 100
Neighbours Increase Coefficient: 1
Temperature Max: 100
Temperature Increase Coefficient: 0.25
13.93user 0.02system 0:11.82elapsed 118%CPU (0avgtext+0avgdata 27280maxresident)k
13.03user 0.05system 0:10.90elapsed 119%CPU (0avgtext+0avgdata 27144maxresident)k
13.19user 0.02system 0:11.12elapsed 118%CPU (0avgtext+0avgdata 27148maxresident)k
12.85user 0.02system 0:10.66elapsed 120%CPU (0avgtext+0avgdata 27092maxresident)k
12.77user 0.04system 0:10.66elapsed 120%CPU (0avgtext+0avgdata 27108maxresident)k
12.91user 0.03system 0:10.73elapsed 120%CPU (0avgtext+0avgdata 27216maxresident)k
12.85user 0.03system 0:10.66elapsed 120%CPU (0avgtext+0avgdata 27148maxresident)k
12.79user 0.03system 0:10.66elapsed 120%CPU (0avgtext+0avgdata 27144maxresident)k
12.84user 0.02system 0:10.64elapsed 120%CPU (0avgtext+0avgdata 27140maxresident)k
12.80user 0.03system 0:10.63elapsed 120%CPU (0avgtext+0avgdata 27092maxresident)k
12.79user 0.03system 0:10.63elapsed 120%CPU (0avgtext+0avgdata 27144maxresident)k
12.88user 0.03system 0:10.69elapsed 120%CPU (0avgtext+0avgdata 27144maxresident)k
12.85user 0.02system 0:10.67elapsed 120%CPU (0avgtext+0avgdata 27016maxresident)k
12.77user 0.04system 0:10.58elapsed 121%CPU (0avgtext+0avgdata 27144maxresident)k
12.94user 0.03system 0:10.74elapsed 120%CPU (0avgtext+0avgdata 27148maxresident)k
13.01user 0.03system 0:10.83elapsed 120%CPU (0avgtext+0avgdata 27272maxresident)k
12.61user 0.03system 0:10.62elapsed 119%CPU (0avgtext+0avgdata 27148maxresident)k
12.88user 0.03system 0:10.68elapsed 120%CPU (0avgtext+0avgdata 27144maxresident)k
12.89user 0.04system 0:10.70elapsed 120%CPU (0avgtext+0avgdata 27144maxresident)k
13.74user 0.05system 0:11.77elapsed 117%CPU (0avgtext+0avgdata 27100maxresident)k
